,Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
0,Breakfast,Egg McMuffin,4.8 oz (136 g),300,120,13.0,20,5.0,25,0.0,260,87,750,31,31,10,4,17,3,17,10,0,25,15
1,Breakfast,Egg White Delight,4.8 oz (135 g),250,70,8.0,12,3.0,15,0.0,25,8,770,32,30,10,4,17,3,18,6,0,25,8
2,Breakfast,Sausage McMuffin,3.9 oz (111 g),370,200,23.0,35,8.0,42,0.0,45,15,780,33,29,10,4,17,2,14,8,0,25,10
4,Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,210,23.0,35,8.0,42,0.0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
5,Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,210,23.0,36,9.0,46,1.0,300,100,960,40,31,10,4,18,3,26,15,2,30,20
8,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,180,20.0,32,11.0,56,0.0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
10,Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27.0,42,12.0,62,0.0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
16,Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20.0,31,8.0,41,0.0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
20,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15.0,24,7.0,34,0.0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
21,Breakfast,Sausage McGriddles,5 oz (141 g),420,200,22.0,34,8.0,40,0.0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
35,Breakfast,Hotcakes,5.3 oz (151 g),350,80,9.0,13,2.0,9,0.0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
37,Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16.0,25,7.0,33,0.0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
40,Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),290,35,4.0,6,1.5,8,0.0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
41,Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,40,4.0,6,1.5,8,0.0,5,2,115,5,49,16,5,22,18,5,2,130,6,10
48,Beef & Pork,Hamburger,3.5 oz (98 g),240,70,8.0,12,3.0,15,0.0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
49,Beef & Pork,Cheeseburger,4 oz (113 g),290,100,11.0,18,5.0,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15
50,Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,190,21.0,32,10.0,52,1.0,90,30,1040,43,35,12,2,8,7,24,10,2,30,20
52,Beef & Pork,McDouble,5.2 oz (147 g),380,150,17.0,26,8.0,40,1.0,75,25,840,35,34,11,2,7,7,22,6,2,20,20
53,Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,200,22.0,34,10.0,49,1.0,90,30,1110,46,35,12,2,7,7,27,6,10,20,20
54,Beef & Pork,Daily Double,6.7 oz (190 g),430,200,22.0,35,9.0,44,1.0,80,27,760,32,34,11,2,8,7,22,8,8,20,20
55,Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,210,23.0,36,9.0,44,1.0,80,27,1030,43,35,12,2,7,6,22,6,8,20,20
58,Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,80,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
65,Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,170,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15
66,Chicken & Fish,McChicken,5.1 oz (143 g),360,140,16.0,25,3.0,15,0.0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
68,Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,190,21.0,32,5.0,25,0.0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15
69,Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,150,16.0,25,3.0,16,0.0,35,11,990,41,40,13,2,7,5,14,2,2,15,15
77,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,90,10.0,15,3.0,14,0.0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20
79,Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,160,18.0,27,3.0,15,0.0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
83,Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,170,19.0,29,4.0,19,0.0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
85,Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,190,21.0,33,6.0,29,0.0,70,23,860,36,22,7,2,10,5,25,100,25,15,8
86,Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,80,8.0,13,4.0,20,0.0,85,29,690,29,8,3,2,10,4,29,110,30,15,8
89,Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,80,8.0,13,2.5,13,0.0,70,23,680,28,28,9,7,28,10,27,170,30,15,15
90,Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,130,15.0,23,4.5,22,0.0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
91,Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,70,8.0,13,3.5,18,0.0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
92,Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,130,15.0,23,4.5,22,0.0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
93,Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,70,8.0,13,3.5,18,0.0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
94,Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,180,20.0,30,5.0,27,0.0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
95,Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,120,13.0,20,4.5,22,0.0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
96,Snacks & Sides,Small French Fries,2.6 oz (75 g),230,100,11.0,17,1.5,8,0.0,0,0,130,5,30,10,2,10,0,2,0,30,0,4
97,Snacks & Sides,Medium French Fries,3.9 oz (111 g),340,140,16.0,24,2.5,11,0.0,0,0,190,8,44,15,4,14,0,4,0,45,2,4
103,Desserts,Baked Apple Pie,2.7 oz (77 g),250,110,13.0,19,7.0,35,0.0,0,0,170,7,32,11,4,15,13,2,4,25,2,6
107,Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,80,9.0,14,7.0,34,0.0,25,8,170,7,53,18,1,3,48,8,8,0,25,8
108,Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,70,8.0,12,5.0,24,0.0,30,10,150,6,60,20,0,0,43,7,10,0,25,0
109,Desserts,Strawberry Sundae,6.3 oz (178 g),280,60,6.0,10,4.0,20,0.0,25,8,85,4,49,16,0,0,45,6,8,4,20,0
111,Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0,0,5,0,55,18,0,0,55,0,0,0,0,0
112,Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0,0,5,0,76,25,0,0,76,0,0,0,0,0
120,Beverages,Dr Pepper (Large),30 fl oz cup,270,0,0.0,0,0.0,0,0.0,0,0,90,4,72,24,0,0,70,0,0,0,0,0
127,Beverages,Sprite (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0,0,45,2,54,18,0,0,54,0,0,0,0,0
128,Beverages,Sprite (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0,0,60,3,74,25,0,0,74,0,0,0,0,0
135,Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,280,0,0.0,0,0.0,0,0.0,0,0,5,0,65,22,0,0,58,4,0,240,4,0
143,Coffee & Tea,Sweet Tea (Large),30 fl oz cup,220,0,0.0,0,0.0,0,0.0,0,0,10,1,54,18,0,0,54,1,0,0,0,0
149,Coffee & Tea,Latte (Medium),16 fl oz cup,210,90,10.0,16,6.0,30,0.0,30,11,140,6,18,6,1,4,15,11,10,0,35,0
150,Coffee & Tea,Latte (Large),20 fl oz cup,280,120,14.0,21,8.0,39,0.0,40,14,180,8,24,8,1,6,20,15,15,0,50,2
151,Coffee & Tea,Caramel Latte (Small),12 fl oz cup,270,80,9.0,13,5.0,24,0.0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
152,Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,340,90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,48,11,10,0,35,0
153,Coffee & Tea,Caramel Latte (Large),20 fl oz cup,430,120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,59,15,15,0,50,2
154,Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,270,80,9.0,13,5.0,24,0.0,25,9,115,5,40,13,1,3,38,9,8,0,30,0
155,Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,330,90,10.0,16,6.0,30,0.0,30,11,140,6,50,17,1,4,47,11,10,0,35,0
156,Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,430,120,14.0,21,8.0,39,0.0,40,14,180,8,62,21,1,6,58,15,15,0,50,2
157,Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,260,80,9.0,13,5.0,24,0.0,25,9,115,5,38,13,1,3,36,9,8,0,30,0
158,Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,330,90,10.0,16,6.0,30,0.0,30,11,140,6,48,16,1,4,45,11,10,0,35,2
159,Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,420,120,14.0,21,8.0,39,0.0,40,14,190,8,60,20,1,6,56,15,15,0,50,2
160,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,80,9.0,13,5.0,24,0.0,25,9,150,6,24,8,1,4,12,9,8,0,30,0
161,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,90,10.0,16,6.0,30,0.0,30,11,190,8,29,10,1,5,15,12,10,0,35,0
162,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,120,14.0,21,8.0,39,0.0,40,14,240,10,37,12,2,7,20,15,15,0,50,2
166,Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,200,0,0.0,0,0.0,0,0.0,5,2,110,5,41,14,1,3,39,10,10,0,30,0
167,Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,250,0,0.0,0,0.0,0,0.0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
168,Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,310,0,0.5,1,0.0,0,0.0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
169,Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0,0.0,0,0.0,0,0.0,5,2,110,5,40,13,1,3,38,10,10,0,30,0
170,Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0,0.0,0,0.0,0,0.0,5,2,135,6,51,17,1,4,48,12,15,0,40,0
171,Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,310,0,0.5,1,0.0,0,0.0,10,3,180,7,63,21,1,6,59,16,15,0,50,2
173,Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,240,0,0.0,0,0.0,0,0.0,5,2,140,6,49,16,1,4,46,12,15,0,40,2
174,Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,300,0,0.5,1,0.0,0,0.0,10,3,180,8,60,20,1,6,56,16,15,0,50,2
177,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,220,0,0.5,1,0.0,0,0.0,10,3,240,10,38,13,2,7,21,16,15,0,50,2
178,Coffee & Tea,Mocha (Small),12 fl oz cup,340,100,11.0,18,7.0,34,0.0,35,12,150,6,49,16,2,6,42,10,10,0,30,6
179,Coffee & Tea,Mocha (Medium),16 fl oz cup,410,120,14.0,21,8.0,40,0.0,40,14,190,8,60,20,2,8,53,13,10,0,40,6
181,Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,270,30,3.5,5,2.0,11,0.0,15,5,150,6,49,16,2,6,43,11,10,0,35,6
182,Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,330,30,3.5,6,2.0,11,0.0,15,5,190,8,60,20,2,8,53,13,15,0,40,6
183,Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,390,35,4.0,6,2.5,12,0.0,20,6,240,10,73,24,2,10,64,17,20,0,50,8
184,Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,320,100,11.0,17,7.0,33,0.0,35,12,170,7,45,15,1,3,40,10,10,0,30,2
185,Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,390,120,14.0,21,8.0,40,0.5,40,14,220,9,55,18,1,4,50,12,15,0,40,2
187,Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,250,30,3.5,5,2.0,10,0.0,15,5,170,7,45,15,1,3,41,10,10,0,35,2
188,Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,310,30,3.5,5,2.0,11,0.0,15,5,210,9,56,19,1,4,51,13,15,0,40,2
189,Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,370,35,3.5,6,2.5,11,0.0,20,6,270,11,67,22,1,5,61,17,20,0,50,4
190,Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,360,120,13.0,21,8.0,39,0.0,40,14,180,8,50,17,1,3,45,11,10,0,40,6
191,Coffee & Tea,Hot Chocolate (Medium),16 fl oz cup,440,140,16.0,25,9.0,47,0.5,50,16,220,9,61,20,1,4,56,14,15,0,45,6
193,Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,280,30,3.5,5,2.0,11,0.0,15,5,180,7,50,17,1,3,46,12,15,0,40,6
194,Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,340,30,3.5,5,2.0,11,0.0,15,6,220,9,61,20,1,4,57,14,20,0,50,6
195,Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,400,35,3.5,6,2.5,12,0.0,20,7,280,12,74,25,1,5,69,19,25,0,60,8
198,Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,270,80,9.0,14,6.0,29,0.0,35,12,75,3,47,16,0,0,45,2,6,0,8,0
201,Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,260,80,9.0,14,6.0,29,0.0,35,12,65,3,43,14,0,0,42,2,6,0,6,0
204,Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,250,80,9.0,14,6.0,29,0.0,35,12,75,3,43,14,0,0,41,2,6,0,8,0
207,Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,240,80,9.0,14,6.0,29,0.0,35,12,80,3,41,14,0,0,39,2,6,0,8,0
211,Coffee & Tea,Iced Mocha (Small),12 fl oz cup,290,100,11.0,17,7.0,33,0.0,35,12,125,5,41,14,1,4,34,8,10,0,25,4
212,Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,350,110,13.0,19,8.0,38,0.0,40,13,150,6,50,17,1,5,43,9,10,0,30,6
214,Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,240,45,5.0,8,3.0,16,0.0,20,7,125,5,41,14,1,4,35,8,10,0,25,4
215,Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,290,45,5.0,8,3.5,17,0.0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
216,Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,390,50,6.0,9,3.5,18,0.0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
217,Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,280,100,11.0,17,7.0,33,0.0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
218,Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,340,110,13.0,19,7.0,37,0.0,40,13,170,7,46,15,1,2,41,9,10,0,30,2
220,Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,230,45,5.0,8,3.0,16,0.0,20,7,140,6,38,13,0,0,33,8,10,0,25,2
221,Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,270,45,5.0,8,3.0,16,0.0,20,7,170,7,47,16,1,2,41,10,15,0,30,2
222,Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,370,50,6.0,8,3.5,17,0.0,25,8,250,10,65,22,1,3,59,14,20,0,45,4
232,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220,5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
233,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260,5,1.0,1,0.0,0,0.0,5,1,50,2,62,21,4,15,54,3,0,4,8,2
234,Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340,10,1.0,2,0.5,3,0.0,5,2,65,3,79,26,5,19,70,4,0,4,10,2
235,Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,210,5,0.5,1,0.0,0,0.0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
236,Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,250,5,1.0,1,0.0,0,0.0,5,1,60,2,58,19,3,13,54,4,0,35,8,4
