Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8823220504, 2.38408821582;Ginkgo;biloba;PARC DES BUTTES CHAUMONT;102053.0;Arbre;Jardin;PARIS 19E ARRDT;;;G0310005;270.0;24.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;747;Arbre aux quarante écus
48.8320775848, 2.41181713566;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;2002362.0;Arbre;Jardin;BOIS DE VINCENNES;12-08;;12-08;101.0;5.0;A;Inconnue;;1870-01-01T01:02:49+00:53;1;13126;If
48.8220251, 2.33627703861;Sequoia;sempervirens;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113353.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Volcan - Puits;;0023D1001;355.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;27415;Sequoia
48.8856292413, 2.34379244341;Punica;granatum;SQUARE LOUISE MICHEL;125087.0;Arbre;Jardin;PARIS 18E ARRDT;;;00001160;30.0;3.0;A;Inconnue;;1952-01-01T02:00:00+01:00;1;40427;Grenadier
48.8477822447, 2.25372288858;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136460.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030015;212.0;20.0;M;Inconnue;;1982-01-01T02:00:00+01:00;1;43604;Bouleau
48.8872385242, 2.31716310443;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;135262.0;Arbre;Jardin;PARIS 17E ARRDT;17-07;;00000072;395.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;46309;Pterocarya
48.8542732882, 2.33573525468;Paulownia;tomentosa;RUE DE FURSTEMBERG;216766.0;Arbre;Alignement;PARIS 6E ARRDT;;;000101001;295.0;20.0;M;Guillot Bourne;;1999-01-25T02:00:00+01:00;1;46449;Paulownia
48.8363411221, 2.29020948574;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;128373.0;Arbre;Jardin;PARIS 15E ARRDT;;;00000002;125.0;5.0;A;Inconnue;'Pendula';1973-01-01T02:00:00+01:00;1;58699;Hêtre
48.8814687366, 2.38368012582;Sophora;japonica;PARC DES BUTTES CHAUMONT;101752.0;Arbre;Jardin;PARIS 19E ARRDT;19-06;;I1090024;408.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;156688;Sophora
48.8704055251, 2.24852119162;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002351.0;Arbre;Jardin;BOIS DE BOULOGNE;16-18;;000701007;221.0;24.0;M;Inconnue;;1843-01-01T01:02:49+00:53;1;158145;Platane
48.8527676299, 2.35102356684;Corylus;colurna;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125046.0;Arbre;Jardin;PARIS 4E ARRDT;04-04;;00000054;210.0;19.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;159039;Noisetier de Byzance
48.8210095188, 2.4555149836;Pinus;coulteri;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002379.0;Arbre;Jardin;BOIS DE VINCENNES;12-20;;12-20;234.0;17.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;174135;Pin
48.8543846725, 2.29863693912;Cedrus;libani;JARDIN DU CHAMP DE MARS;106913.0;Arbre;Jardin;PARIS 7E ARRDT;07-04;;P0070796;295.0;20.0;M;Inconnue;'Glauca';1700-01-01T01:02:49+00:53;1;175355;Cèdre
48.8577724998, 2.29724575606;Eucommia;ulmoides;JARDIN DU CHAMP DE MARS;107696.0;Arbre;Jardin;PARIS 7E ARRDT;07-02;;P0061402;189.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;176611;Arbre à Gutta-Percha
48.8476363794, 2.25274648217;Ginkgo;biloba;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136527.0;Arbre;Jardin;PARIS 16E ARRDT;;;00050045;410.0;24.0;M;Inconnue;;1895-01-01T01:09:21+01:00;1;179777;Arbre aux quarante écus
48.8940926568, 2.32633191622;Aesculus;pavia;SQUARE DES EPINETTES;134203.0;Arbre;Jardin;PARIS 17E ARRDT;17-04;;00000125;284.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;180604;Marronnier
48.8682621216, 2.29353225481;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;126662.0;Arbre;Jardin;PARIS 16E ARRDT;;;00000012;108.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;205799;Platane
48.8846213312, 2.34392438346;Platanus;orientalis;SQUARE LOUISE MICHEL;120588.0;Arbre;Jardin;PARIS 18E ARRDT;18-01;;00000201;520.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;206236;Platane
48.8227147039, 2.33868841423;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113547.0;Arbre;Jardin;PARIS 14E ARRDT;04 - Le vallon du Lac / Plateau Baigneuses;;0007A1001;604.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;226692;Platane
48.863856986, 2.39663716021;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;158456.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;;D00000078003;175.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;59358;Arbre aux quarante écus
48.8448875264, 2.35366916319;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;132669.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000075;85.0;3.0;M;Inconnue;'Tortuosa';1905-01-01T01:09:21+01:00;1;81424;Hêtre
48.8727963278, 2.2875405986;Corylus;colurna;JARDIN DE L AVENUE FOCH / PELOUSE 15 / 10 AVENUE FOCH;114779.0;Arbre;Jardin;PARIS 16E ARRDT;27 à 29;;000105001 / 16-25;200.0;12.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;86105;Noisetier de Byzance
48.8217882346, 2.3228497157;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;121632.0;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;310.0;15.0;M;Inconnue;'Atropunicea';1700-01-01T01:02:49+00:53;1;95165;Hêtre
48.8875264747, 2.31617875419;Platanus;orientalis;SQUARE DES BATIGNOLLES;135378.0;Arbre;Jardin;PARIS 17E ARRDT;17-08;;00000187;442.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;96547;Platane
48.8465652331, 2.25242001202;Quercus;ilex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136323.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040039;233.0;13.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;106066;Chêne
48.8311975549, 2.41168725636;Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;2002359.0;Arbre;Jardin;BOIS DE VINCENNES;12-13;;12-13;122.0;18.0;A;Inconnue;;1893-01-01T01:02:49+00:53;1;123424;Cryptomeria
48.8323392302, 2.41144640633;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;2002364.0;Arbre;Jardin;BOIS DE VINCENNES;12-11;;12-11;397.0;40.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;146723;Platane
48.8620845688, 2.3985769149;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;155788.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-01;;D00000077016;111.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;150287;Plaqueminier
48.8319997987, 2.32583007025;Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;116216.0;Arbre;Jardin;PARIS 14E ARRDT;;;10030016;140.0;18.0;A;Inconnue;;1996-01-01T02:00:00+01:00;1;152012;Cèdre
48.8735408016, 2.29045015635;Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / PELOUSE 10 / 10 AVENUE FOCH;114869.0;Arbre;Jardin;PARIS 16E ARRDT;20 à 26;;000206001 / 16-34;155.0;8.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;188341;Savonnier
48.8395211552, 2.43349884154;Platanus;x hispanica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;2002371.0;Arbre;Jardin;BOIS DE VINCENNES;12-01;;12-01;607.0;30.0;M;Inconnue;;1918-01-01T01:00:00+01:00;1;199973;Platane
48.8476114157, 2.25314300756;Firmiana;simplex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136446.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030001;132.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;1237;Sterculier
48.8326105728, 2.41145272899;Taxodium;distichum;ILE DE BERCY / LAC DAUMESNIL;2002363.0;Arbre;Jardin;BOIS DE VINCENNES;12-10;;12-10;281.0;23.0;A;Inconnue;;1930-01-01T01:00:00+01:00;1;28567;Cyprès Chauve
48.8715363448, 2.27816921701;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / PELOUSE 20 / 10 AVENUE FOCH;111331.0;Arbre;Jardin;PARIS 16E ARRDT;75 à 77;;000307023 / 16-27;443.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;29977;Platane
48.8200711234, 2.43516626469;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;2002399.0;Arbre;Jardin;BOIS DE VINCENNES;12-38;;12-38;289.0;10.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;40847;Catalpa
48.893355459, 2.34682048372;Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;120016.0;Arbre;Jardin;PARIS 18E ARRDT;18-08;;00000009;238.0;17.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;41815;Cedrele
48.8731110898, 2.24886478886;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002354.0;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;000701004;231.0;16.0;M;Inconnue;'Pendula';1868-01-01T01:02:49+00:53;1;47712;Hêtre
48.8521900449, 2.34729161483;Robinia;pseudoacacia;SQUARE RENE VIVIANI;124358.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000058;365.0;9.0;M;Inconnue;;1602-01-01T01:02:49+00:53;1;48696;Robinier
