date	ouv	haut	bas	clot	vol	devise	
27/09/2010 00:00	7.05	7.23	6.975	7.2	49523	USD	
28/09/2010 00:00	6.86	7.31	7.02	6.848	36619	USD	
29/09/2010 00:00	6.87	6.883	6.633	6.835	45069	USD	
01/10/2010 00:00	6.768	6.86	6.51	6.74	72399	USD	
04/10/2010 00:00	6.5	6.783	6.465	6.473	54240	USD	
05/10/2010 00:00	6.533	6.678	6.44	6.635	36008	USD	
07/10/2010 00:00	6.56	6.733	6.55	6.583	27205	USD	
08/10/2010 00:00	7.263	6.763	6.565	7.193	35465	USD	
11/10/2010 00:00	7.275	7.398	7.03	7.093	40512	USD	
13/10/2010 00:00	7.1	7.198	7.03	7.1	42882	USD	
14/10/2010 00:00	7.055	7.223	6.95	7.008	49924	USD	
15/10/2010 00:00	6.98	7.138	6.95	7.045	39699	USD	
19/10/2010 00:00	7.048	7.09	6.873	6.9	40455	USD	
20/10/2010 00:00	6.88	6.965	6.683	6.83	48038	USD	
21/10/2010 00:00	6.725	6.923	6.67	6.688	34921	USD	
25/10/2010 00:00	6.79	6.76	6.65	6.708	28521	USD	
26/10/2010 00:00	6.72	6.86	6.69	6.92	33678	USD	
27/10/2010 00:00	6.963	7.075	6.865	7.028	57216	USD	
29/10/2010 00:00	7.188	7.218	7.005	7.183	56730	USD	
01/11/2010 00:00	7.22	7.25	7.113	7.025	53245	USD	
02/11/2010 00:00	6.96	7.123	6.925	6.943	56181	USD	
04/11/2010 00:00	6.98	6.995	6.805	6.903	55048	USD	
05/11/2010 00:00	7.3	7.195	6.928	7.288	56034	USD	
07/11/2010 00:00	7.3	7.39	7.263	7.288	8009	USD	
09/11/2010 00:00	7.555	7.445	7.35	7.363	3992	USD	
10/11/2010 00:00	7.158	7.198	6.95	7.1	7398	USD	
11/11/2010 00:00	7.06	7.108	6.855	7.04	8812	USD	
14/11/2010 00:00	6.91	6.818	6.613	6.745	99238	USD	
15/11/2010 00:00	6.73	6.74	6.675	6.728	2533	USD	
17/11/2010 00:00	6.34	6.333	6.21	6.263	6320	USD	
18/11/2010 00:00	6.49	6.535	6.333	6.453	3688	USD	
19/11/2010 00:00	6.398	6.578	6.363	6.445	42929	USD	
22/11/2010 00:00	6.428	6.528	6.39	6.455	2844	USD	
23/11/2010 00:00	6.4	6.495	6.435	6.42	1557	USD	
25/11/2010 00:00	6.533	6.56	6.423	6.475	23902	USD	
26/11/2010 00:00	6.475	6.543	6.455	6.483	1266	USD	
29/11/2010 00:00	6.52	6.595	6.488	6.503	4102	USD	
30/11/2010 00:00	6.505	6.57	6.45	6.503	1489	USD	
02/12/2010 00:00	6.758	7.023	6.505	6.975	9940	USD	
03/12/2010 00:00	7.143	7.25	6.938	7.38	4391	USD	
06/12/2010 00:00	7.505	7.538	7.39	7.52	2673	USD	
08/12/2010 00:00	7.608	7.615	7.368	7.43	1021	USD	
09/12/2010 00:00	7.433	7.5	7.258	7.483	526	USD	
10/12/2010 00:00	7.435	7.51	7.388	7.355	100	USD	
14/12/2010 00:00	7.7	7.865	7.388	7.803	38985	USD	
15/12/2010 00:00	7.655	7.765	7.545	7.648	44584	USD	
16/12/2010 00:00	7.645	7.668	7.46	7.498	30107	USD	
20/12/2010 00:00	7.645	7.58	7.42	7.568	22982	USD	
21/12/2010 00:00	7.655	7.72	7.595	7.65	24853	USD	
22/12/2010 00:00	7.6	7.853	7.56	7.835	31580	USD	
24/12/2010 00:00	7.788	7.883	7.76	7.83	19396	USD	
28/12/2010 00:00	7.78	7.838	7.66	7.803	11806	USD	
29/12/2010 00:00	7.945	8.02	7.795	7.993	22379	USD	
30/12/2010 00:00	7.858	7.99	7.765	7.848	24777	USD	
03/01/2011 00:00	7.88	7.963	7.805	7.943	18041	USD	
04/01/2011 00:00	8.01	8.25	7.928	7.893	39922	USD	
05/01/2011 00:00	8.078	8.103	7.76	8.083	40728	USD	
07/01/2011 00:00	7.82	8.098	7.878	7.89	37157	USD	
10/01/2011 00:00	7.673	7.94	7.72	7.673	41273	USD	
11/01/2011 00:00	7.595	7.768	7.583	7.595	44688	USD	
13/01/2011 00:00	7.66	7.905	7.6	7.705	62380	USD	
14/01/2011 00:00	7.703	7.875	7.693	7.733	50025	USD	
18/01/2011 00:00	7.925	7.958	7.735	7.933	56349	USD	
20/01/2011 00:00	8.05	8.08	7.925	7.973	49489	USD	
21/01/2011 00:00	8.1	8.058	7.82	8.245	46985	USD	
24/01/2011 00:00	8.303	8.395	8.235	8.353	67736	USD	
26/01/2011 00:00	8.455	8.39	8.208	8.383	61070	USD	
27/01/2011 00:00	8.468	8.613	8.398	8.463	46913	USD	
28/01/2011 00:00	8.43	8.498	8.245	8.258	44442	USD	
01/02/2011 00:00	8.4	8.478	8.23	8.408	51194	USD	
02/02/2011 00:00	8.413	8.45	8.315	8.63	50425	USD	
03/02/2011 00:00	8.518	8.728	8.485	8.59	58728	USD	
07/02/2011 00:00	8.575	8.648	8.425	8.538	48653	USD	
08/02/2011 00:00	8.743	8.695	8.515	8.743	58809	USD	
09/02/2011 00:00	8.9	8.933	8.753	8.86	90501	USD	
11/02/2011 00:00	8.65	8.86	8.613	8.628	71267	USD	
14/02/2011 00:00	8.785	8.713	8.555	8.72	56247	USD	
15/02/2011 00:00	8.42	8.74	8.305	8.403	49832	USD	
17/02/2011 00:00	8.438	8.493	8.255	8.37	57848	USD	
18/02/2011 00:00	8.403	8.535	8.378	8.223	53302	USD	
22/02/2011 00:00	8.01	8.355	7.623	7.623	55319	USD	
24/02/2011 00:00	7.54	7.678	7.23	7.63	56283	USD	
